School,Grad Rate,Retain Rate,Accept Rate,ENROLLMENT,INSTITUTIONALAID,DEFAULT,Ratio
University of Massachusetts-Amherst, 0.78 , 0.91 , 0.58 , 0.12 , 0.69 , N/A ,18
Simmons College, 0.74 , 0.85 , 0.58 , 0.10 , 0.91 , N/A ,7
Rutgers University-New Brunswick, 0.80 , 0.93 , 0.58 , 0.19 , 0.51 , N/A ,15
University of Dayton, 0.79 , 0.91 , 0.58 , 0.13 , 0.86 , N/A ,16
University of the Sciences, 0.72 , 0.90 , 0.58 , 0.09 , 0.84 , N/A ,10
North Greenville University, 0.55 , 0.73 , 0.58 , 0.34 , 0.91 , 0.06 ,14
Johnson University, 0.57 , 0.74 , 0.58 , 0.42 , 0.89 , N/A ,14
University of Wisconsin-Madison, 0.85 , 0.96 , 0.58 , 0.22 , 0.42 , N/A ,18
Concordia University-Irvine, 0.61 , 0.72 , 0.59 , 0.11 , 0.81 , N/A ,15
Sacred Heart University, 0.64 , 0.83 , 0.59 , 0.14 , 0.85 , N/A ,15
Nova Southeastern University, 0.44 , 0.80 , 0.59 , 0.15 , 0.83 , N/A ,16
Saint Mary-of-the-Woods College, 0.50 , 0.74 , 0.59 , 0.26 , 0.83 , N/A ,6
University of Maryland-Baltimore County, 0.63 , 0.86 , 0.59 , 0.15 , 0.51 , N/A ,19
Augsburg College, 0.56 , 0.79 , 0.59 , 0.16 , 0.82 , 0.05 ,12
Cox College, 0.99 , 1.00 , 0.59 , 0.22 , 0.60 , N/A ,9
Grace University, 0.46 , 0.93 , 0.59 , 0.32 , 0.86 , 0.05 ,12
University of North Carolina at Greensboro, 0.56 , 0.77 , 0.59 , 0.26 , 0.55 , N/A ,17
Oklahoma Christian University, 0.49 , 0.79 , 0.59 , 0.17 , 0.96 , 0.08 ,13
Multnomah University, 0.55 , 0.70 , 0.59 , 0.29 , 0.90 , 0.03 ,13
Arcadia University, 0.58 , 0.79 , 0.59 , 0.06 , 0.94 , 0.06 ,10
West Chester University of Pennsylvania, 0.71 , 0.88 , 0.59 , 0.19 , 0.43 , N/A ,19
Purdue University-Main Campus, 0.75 , 0.92 , 0.59 , 0.15 , 0.51 , N/A ,12
University of Alabama at Birmingham, 0.55 , 0.79 , 0.60 , 0.21 , 0.58 , N/A ,18
University of Arkansas, 0.62 , 0.82 , 0.60 , 0.24 , 0.58 , N/A ,19
Georgia Southern University, 0.50 , 0.82 , 0.60 , 0.35 , 0.67 , 0.09 ,21
Lincoln Christian University, 0.61 , 0.67 , 0.60 , 0.36 , 0.84 , 0.08 ,13
Anderson University, 0.54 , 0.75 , 0.60 , 0.16 , 0.89 , 0.05 ,11
Stevenson University, 0.53 , 0.80 , 0.60 , 0.13 , 0.81 , N/A ,14
Madonna University, 0.61 , 0.82 , 0.60 , 0.19 , 0.62 , N/A ,10
University of Minnesota-Morris, 0.65 , 0.77 , 0.60 , 0.11 , 0.74 , 0.06 ,12
University at Buffalo, 0.74 , 0.88 , 0.60 , 0.15 , 0.55 , N/A ,13
SUNY Polytechnic Institute, 0.49 , 0.74 , 0.60 , 0.15 , 0.69 , N/A ,17
Baldwin Wallace University, 0.67 , 0.83 , 0.60 , 0.18 , 0.84 , 0.03 ,13
Ball State University, 0.60 , 0.82 , 0.61 , 0.16 , 0.65 , 0.07 ,14
Mount Mercy University, 0.65 , 0.78 , 0.61 , 0.21 , 0.86 , 0.04 ,14
MidAmerica Nazarene University, 0.55 , 0.74 , 0.61 , 0.21 , 0.85 , 0.07 ,7
Loyola University Maryland, 0.81 , 0.86 , 0.61 , 0.07 , 0.70 , N/A ,11
Salisbury University, 0.67 , 0.82 , 0.61 , 0.14 , 0.56 , 0.05 ,16
The College of Saint Scholastica, 0.70 , 0.84 , 0.61 , 0.12 , 0.82 , N/A ,15
Evangel University, 0.54 , 0.71 , 0.61 , 0.24 , 0.95 , 0.07 ,14
University of North Carolina Wilmington, 0.71 , 0.85 , 0.61 , 0.18 , 0.53 , N/A ,17
Summit University of Pennsylvania, 0.59 , 0.74 , 0.61 , 0.32 , 0.74 , N/A ,11
Lipscomb University, 0.55 , 0.84 , 0.61 , 0.20 , 0.73 , 0.05 ,12
The University of Texas at Dallas, 0.66 , 0.84 , 0.61 , 0.24 , 0.65 , 0.07 ,23
Wheeling Jesuit University, 0.54 , 0.72 , 0.61 , 0.15 , 0.79 , N/A ,11
University of California-Merced, 0.66 , 0.84 , 0.61 , 0.09 , 0.88 , N/A ,18
California Lutheran University, 0.66 , 0.84 , 0.62 , 0.09 , 0.87 , 0.03 ,15
Agnes Scott College, 0.68 , 0.87 , 0.62 , 0.19 , 0.95 , 0.07 ,9
Illinois Wesleyan University, 0.83 , 0.93 , 0.62 , 0.12 , 0.99 , 0.03 ,11
Lewis University, 0.66 , 0.84 , 0.62 , 0.12 , 0.81 , N/A ,13
University of Michigan-Dearborn, 0.53 , 0.80 , 0.62 , 0.18 , 0.63 , N/A ,15
Winona State University, 0.58 , 0.81 , 0.62 , 0.24 , 0.54 , N/A ,20
Daniel Webster College, 0.49 , 0.68 , 0.62 , 0.18 , 0.70 , 0.08 ,16
Le Moyne College, 0.68 , 0.88 , 0.62 , 0.09 , 0.90 , 0.06 ,13
Saint John Fisher College, 0.72 , 0.86 , 0.62 , 0.12 , 0.96 , N/A ,12
Salem College, 0.60 , 0.83 , 0.62 , 0.21 , 0.95 , 0.07 ,11
Southern Wesleyan University, 0.50 , 0.69 , 0.62 , 0.22 , 0.80 , 0.12 ,18
Presbyterian College, 0.70 , 0.81 , 0.62 , 0.13 , 0.89 , 0.04 ,11
Eastern Mennonite University, 0.61 , 0.73 , 0.62 , 0.15 , 0.95 , 0.03 ,10
Whitworth University, 0.75 , 0.95 , 0.62 , 0.13 , 0.94 , N/A ,11
California State University-Chico, 0.64 , 0.84 , 0.63 , 0.12 , 0.63 , 0.07 ,25
Whittier College, 0.66 , 0.80 , 0.63 , 0.09 , 0.94 , N/A ,12
Stetson University, 0.64 , 0.77 , 0.63 , 0.09 , 0.98 , 0.05 ,13
McKendree University, 0.56 , 0.71 , 0.63 , 0.19 , 0.75 , 0.09 ,14
Dominican University, 0.59 , 0.79 , 0.63 , 0.12 , 0.90 , 0.06 ,11
University of Illinois at Springfield, 0.48 , 0.77 , 0.63 , 0.18 , 0.65 , N/A ,14
Frostburg State University, 0.51 , 0.76 , 0.63 , 0.24 , 0.56 , 0.10 ,16
Saint Louis University, 0.71 , 0.90 , 0.63 , 0.12 , 0.54 , N/A ,11
College of Saint Elizabeth, 0.49 , 0.71 , 0.63 , 0.13 , 0.66 , 0.08 ,10
University of North Carolina at Charlotte, 0.53 , 0.83 , 0.63 , 0.21 , 0.52 , N/A ,19
Pittsburgh Institute of Mortuary Science Inc, 0.61 , 0.85 , 0.63 , 0.63 , 0.23 , N/A ,12
Texas Tech University, 0.60 , 0.83 , 0.63 , 0.22 , 0.52 , N/A ,22
University of San Francisco, 0.71 , 0.83 , 0.64 , 0.08 , 0.61 , N/A ,14
Central College, 0.67 , 0.78 , 0.64 , 0.10 , 0.94 , 0.04 ,12
Faith Baptist Bible College and Theological Seminary, 0.66 , 0.80 , 0.64 , 0.50 , 0.90 , 0.03 ,11
Louisiana Tech University, 0.52 , 0.80 , 0.64 , 0.31 , 0.72 , 0.08 ,23
Caldwell University, 0.64 , 0.82 , 0.64 , 0.09 , 0.74 , 0.09 ,12
Stockton University, 0.73 , 0.87 , 0.64 , 0.21 , 0.56 , N/A ,17
Oral Roberts University, 0.58 , 0.80 , 0.64 , 0.18 , 0.87 , 0.10 ,16
Philadelphia University, 0.65 , 0.82 , 0.64 , 0.13 , 0.88 , N/A ,13
California Baptist University, 0.60 , 0.76 , 0.65 , 0.26 , 0.85 , 0.08 ,18
Fairfield University, 0.82 , 0.89 , 0.65 , 0.09 , 0.75 , 0.01 ,12
Mississippi State University, 0.60 , 0.82 , 0.65 , 0.28 , 0.78 , 0.08 ,19
Cleveland Institute of Art, 0.68 , 0.83 , 0.65 , 0.23 , 0.97 , 0.05 ,9
Miami University-Oxford, 0.80 , 0.90 , 0.65 , 0.14 , 0.63 , 0.11 ,15
University of South Carolina-Columbia, 0.72 , 0.87 , 0.65 , 0.20 , 0.71 , N/A ,19
Augustana University, 0.75 , 0.84 , 0.65 , 0.25 , 0.97 , 0.03 ,10
Milwaukee School of Engineering, 0.64 , 0.87 , 0.65 , 0.22 , 0.89 , 0.05 ,16
Milligan College, 0.63 , 0.78 , 0.65 , 0.31 , 0.87 , 0.05 ,9
Regis University, 0.73 , 0.79 , 0.66 , 0.10 , 0.54 , N/A ,14
Brenau University, 0.48 , 0.59 , 0.66 , 0.09 , 0.78 , 0.07 ,11
Bradley University, 0.74 , 0.86 , 0.66 , 0.10 , 0.94 , 0.03 ,12
University of Illinois at Urbana-Champaign, 0.85 , 0.93 , 0.66 , 0.22 , 0.51 , N/A ,19
Bethel College-Indiana, 0.64 , 0.78 , 0.66 , 0.14 , 0.84 , 0.09 ,12
Goshen College, 0.66 , 0.78 , 0.66 , 0.22 , 0.90 , 0.04 ,10
Michigan State University, 0.77 , 0.92 , 0.66 , 0.23 , 0.51 , N/A ,17
Minneapolis College of Art and Design, 0.60 , 0.82 , 0.66 , 0.26 , 0.94 , 0.09 ,11
Albany College of Pharmacy and Health Sciences, 0.69 , 0.88 , 0.66 , 0.13 , 0.86 , 0.01 ,9
Roberts Wesleyan College, 0.62 , 0.78 , 0.66 , 0.18 , 0.79 , 0.06 ,13
St Bonaventure University, 0.64 , 0.86 , 0.66 , 0.13 , 0.99 , 0.07 ,11
Appalachian State University, 0.71 , 0.86 , 0.66 , 0.23 , 0.45 , 0.04 ,16
The University of Texas at Arlington, 0.46 , 0.71 , 0.66 , 0.26 , 0.54 , N/A ,25
